30	135	90	16	76	152	122	183	258	198	168	228	289	50	245	275	215	5	66	111	
165	91	136	211	242	62	2	227	257	18	273	288	153	34	125	110	185	81	51	201	
105	15	46	1	61	31	287	182	138	229	154	199	244	214	124	94	170	80	261	276	
255	75	210	196	106	226	286	181	272	63	93	123	49	4	155	35	20	140	246	171	
45	270	0	285	60	121	17	32	137	197	243	213	259	169	109	79	230	96	156	186	
225	150	241	92	167	212	33	78	48	3	108	184	274	139	260	200	65	21	126	291	
180	240	120	195	256	151	166	271	77	47	107	19	64	95	290	6	141	36	216	231	
187	22	248	98	38	83	158	143	294	264	130	11	206	176	71	222	238	283	59	119	
157	97	113	68	128	204	10	85	280	175	190	220	265	235	41	251	26	57	297	147	
172	127	217	247	278	24	54	234	266	146	162	207	102	42	87	72	118	13	194	299	
112	82	142	232	293	8	69	205	56	161	132	282	28	103	43	178	223	193	269	254	
7	292	67	203	189	279	25	55	145	100	250	116	236	177	163	88	133	268	44	224	
262	53	233	218	249	159	174	9	40	115	295	191	101	27	148	208	89	284	134	74	
277	173	23	114	39	144	160	86	221	131	296	252	267	192	12	58	73	239	104	209	
52	37	202	263	188	99	129	84	219	70	281	117	237	253	298	14	29	149	164	179	
0	181	261	454	605	692	744	932	1325	1411	1491	1528	1686	1857	2122	2209	2327	2389	2469	2542	
0	454	626	814	871	958	1153	1200	1311	1325	1507	1684	1686	1714	2325	2449	2451	2644	2675	2855	
0	99	151	233	431	519	666	785	932	1584	1714	1893	2037	2122	2274	2325	2413	2414	2419	2530	
0	97	119	187	293	374	473	662	706	1153	1175	1212	1384	1570	1893	2093	2138	2282	2320	2414	
0	123	139	233	340	431	605	708	814	918	1068	1109	1411	1528	1533	1602	1765	2549	2704	2874	
0	152	280	626	720	871	957	1000	1125	1200	1395	1525	1684	1865	1871	2037	2225	2393	2531	2613	
0	49	76	92	186	326	511	513	692	851	959	1507	1609	2413	2549	2567	2757	2774	2831	2915	
2944	2990	3099	3129	3279	3443	3446	3463	3656	3746	3767	4075	4240	4425	4578	4608	4954	5021	5411	5556	
2874	3011	3041	3067	3195	3337	3907	4075	4163	4171	4283	4288	4307	4442	4615	4630	4808	4976	5087	5170	
2594	2736	2915	2934	3071	3248	3300	3482	4442	4482	4489	4566	4634	4679	4795	4905	5031	5311	5569	5697	
2678	2801	2827	3087	3142	3266	3314	3421	3877	3938	4421	4589	5003	5013	5073	5236	5400	5463	5569	5591	
2757	2832	2841	3314	3371	3521	3679	3817	3877	4000	4124	4190	4615	4814	4989	5124	5143	5284	5407	5476	
2530	3048	3243	3332	3497	3568	3662	3798	3907	3920	4043	4288	4291	4976	5284	5295	5373	5386	5519	5638	
2628	2736	3099	3248	3443	3656	3744	4163	4338	4416	4421	4808	4871	5002	5136	5311	5411	5558	5698	5874	
2855	3048	3118	3314	3347	3371	3503	3628	3674	3831	4171	4366	4814	4954	5170	5337	5533	5725	5770	5783	
181	261	454	605	692	744	776	1049	1411	1491	1528	1584	1857	1954	2209	2327	2389	2469	2542	2678	
196	626	814	871	958	1153	1200	1311	1325	1507	1684	1686	1714	1865	2449	2451	2644	2675	2855	2881	
99	151	194	241	519	666	785	932	1085	1604	1893	2037	2122	2274	2325	2413	2414	2419	2530	2628	
97	119	187	293	374	473	662	706	713	1175	1212	1384	1570	1574	2093	2138	2282	2320	2327	2594	
123	139	233	340	431	595	708	713	918	1068	1109	1309	1463	1533	1602	1765	1803	2704	2874	2944	
152	280	326	720	821	957	1000	1125	1183	1395	1525	1558	1865	1871	1942	2225	2393	2531	2613	2634	
49	76	92	186	326	511	513	611	851	959	1091	1609	1667	2549	2567	2757	2774	2831	2915	3087	
2990	3099	3129	3279	3443	3446	3463	3656	3746	3767	3961	4240	4425	4578	4608	4797	5021	5058	5556	5721	
3011	3041	3067	3195	3326	3344	4075	4163	4171	4283	4288	4307	4442	4615	4630	4808	4976	5087	5170	5284	
2736	2871	2934	3071	3142	3300	3482	3627	4482	4489	4566	4634	4679	4795	4905	5031	5042	5337	5697	5791	
2801	2827	2936	3142	3266	3314	3421	3592	3938	4022	4589	4688	5013	5073	5236	5400	5463	5569	5591	5650	
2832	2841	2991	3337	3521	3679	3817	3877	4000	4124	4190	4197	4814	4989	5124	5143	5284	5407	5476	5493	
2676	3243	3332	3497	3568	3662	3798	3907	3920	4043	4180	4291	4462	5003	5295	5373	5386	5519	5638	5714	
2699	2781	3248	3418	3549	3744	3803	4338	4416	4421	4433	4871	5002	5136	5311	5411	5558	5698	5874	6025	
3048	3118	3314	3347	3371	3503	3628	3674	3831	3892	4366	4471	4954	4975	5220	5533	5725	5770	5783	5982	
